# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. 6Li(n,t) point-wise cross section data. 
# It is a standard from 0.0253 eV to 1.0 MeV. 
# CS is the cross section. 
# DCS is the cross section uncertainty. 
# The 0.5 % unrecognized systematic uncertainty (USU) is included in the uncertainties in the table. 
# Linear interpolation is recommended except below 30 keV where log-log interpolation should be used.
# 
En           CS        DCS
# MeV          barn      %
2.53E-08     937.998   0.51
9.40E-06     48.636    0.51
1.50E-04     12.157    0.51
2.50E-04     9.412     0.51
3.50E-04     7.951     0.51
4.50E-04     7.010     0.51
5.50E-04     6.339     0.51
6.50E-04     5.830     0.51
7.50E-04     5.427     0.51
8.50E-04     5.097     0.51
9.50E-04     4.820     0.51
1.50E-03     3.834     0.51
2.50E-03     2.969     0.51
3.50E-03     2.509     0.51
4.50E-03     2.214     0.51
5.50E-03     2.004     0.51
6.50E-03     1.844     0.51
7.50E-03     1.718     0.51
8.50E-03     1.616     0.51
9.50E-03     1.530     0.51
1.50E-02     1.226     0.52
2.00E-02     1.070     0.52
2.40E-02     0.984     0.53
3.00E-02     0.891     0.54
4.50E-02     0.755     0.59
5.50E-02     0.705     0.63
6.50E-02     0.673     0.67
7.50E-02     0.654     0.71
8.50E-02     0.646     0.75
9.50E-02     0.649     0.80
1.00E-01     0.654     0.82
1.20E-01     0.702     0.91
1.50E-01     0.893     1.0
1.70E-01     1.161     1.1
1.80E-01     1.366     1.1
1.90E-01     1.635     1.1
2.00E-01     1.976     1.1
2.10E-01     2.380     1.2
2.20E-01     2.794     1.3
2.30E-01     3.115     1.5
2.35E-01     3.201     1.6
2.40E-01     3.224     1.7
2.45E-01     3.183     1.7
2.50E-01     3.085     1.7
2.60E-01     2.771     1.7
2.70E-01     2.395     1.6
2.80E-01     2.038     1.5
3.00E-01     1.485     1.3
3.25E-01     1.062     1.1
3.50E-01     0.817     1.1
3.75E-01     0.667     1.1
4.00E-01     0.569     1.1
4.25E-01     0.502     1.1
4.50E-01     0.453     1.1
4.75E-01     0.416     1.1
5.00E-01     0.388     1.1
5.20E-01     0.369     1.1
5.40E-01     0.354     1.1
5.70E-01     0.335     1.1
6.00E-01     0.319     1.1
6.50E-01     0.300     1.0
7.00E-01     0.285     1.0
7.50E-01     0.274     1.0
8.00E-01     0.266     1.0
8.50E-01     0.259     1.0
9.00E-01     0.253     1.0
9.40E-01     0.249     1.0
9.60E-01     0.248     1.0
9.80E-01     0.246     1.0
1.00E+00     0.245     1.0
