# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. 235U(n,f) point-wise cross section data. 
# It is a standard at 0.0253 eV and from 0.15 to 200 MeV. 
# Integral of cross section between 7.8 and 11 eV is also an standard with value 247.5 +/- 3.0 barn*eV.
# 
# En is the incident neutron energy. CS is the cross section. DCS is the cross section uncertainty. 
# The 1.2 % unrecognized systematic uncertainty is included in the uncertainties in the table (for exclusion of 0.0253 eV point). 
# Linear interpolation is recommended except below 30 keV where log-log interpolation should be used. 
# 
En           CS        DCS
# MeV          barn      %
2.53E-08     587.29    0.23
1.50E-01     1.436     1.3
1.70E-01     1.402     1.4
1.80E-01     1.397     1.5
1.90E-01     1.369     1.4
2.00E-01     1.347     1.4
2.10E-01     1.349     1.4
2.20E-01     1.324     1.4
2.30E-01     1.299     1.4
2.35E-01     1.304     1.4
2.40E-01     1.294     1.4
2.45E-01     1.293     1.4
2.50E-01     1.282     1.4
2.60E-01     1.265     1.4
2.70E-01     1.250     1.4
2.80E-01     1.234     1.4
3.00E-01     1.231     1.3
3.25E-01     1.236     1.4
3.50E-01     1.216     1.3
3.75E-01     1.219     1.4
4.00E-01     1.186     1.4
4.25E-01     1.202     1.4
4.50E-01     1.165     1.4
4.75E-01     1.140     1.4
5.00E-01     1.142     1.3
5.20E-01     1.140     1.4
5.40E-01     1.123     1.4
5.70E-01     1.139     1.4
6.00E-01     1.110     1.3
6.50E-01     1.120     1.3
7.00E-01     1.117     1.3
7.50E-01     1.132     1.3
8.00E-01     1.111     1.3
8.50E-01     1.120     1.3
9.00E-01     1.144     1.3
9.40E-01     1.173     1.3
9.60E-01     1.197     1.4
9.80E-01     1.207     1.4
1.00E+00     1.203     1.3
1.10E+00     1.194     1.3
1.25E+00     1.211     1.3
1.40E+00     1.228     1.3
1.60E+00     1.255     1.3
1.80E+00     1.273     1.3
2.00E+00     1.289     1.3
2.20E+00     1.280     1.3
2.40E+00     1.266     1.3
2.60E+00     1.257     1.3
2.80E+00     1.240     1.3
3.00E+00     1.217     1.3
3.60E+00     1.165     1.3
4.00E+00     1.137     1.3
4.50E+00     1.118     1.3
4.70E+00     1.101     1.3
5.00E+00     1.073     1.3
5.30E+00     1.057     1.3
5.50E+00     1.038     1.3
5.80E+00     1.039     1.4
6.00E+00     1.092     1.4
6.20E+00     1.180     1.4
6.50E+00     1.334     1.4
7.00E+00     1.543     1.4
7.50E+00     1.701     1.4
7.75E+00     1.738     1.4
8.00E+00     1.785     1.4
8.50E+00     1.793     1.4
9.00E+00     1.779     1.4
1.00E+01     1.759     1.4
1.10E+01     1.736     1.4
1.15E+01     1.704     1.5
1.20E+01     1.721     1.4
1.30E+01     1.886     1.4
1.40E+01     2.079     1.3
1.45E+01     2.090     1.3
1.50E+01     2.126     1.4
1.60E+01     2.154     1.4
1.70E+01     2.098     1.5
1.80E+01     2.059     1.5
1.90E+01     2.032     1.4
2.00E+01     2.022     1.5
2.10E+01     2.088     1.6
2.20E+01     2.115     2.0
2.30E+01     2.145     1.7
2.40E+01     2.089     1.8
2.50E+01     2.127     1.6
2.60E+01     2.128     1.9
2.70E+01     2.108     1.8
2.80E+01     2.135     2.0
2.90E+01     2.105     1.8
3.00E+01     2.155     1.8
3.20E+01     2.139     2.2
3.40E+01     2.118     2.2
3.60E+01     2.035     2.3
3.80E+01     1.979     2.5
4.00E+01     1.997     2.5
4.20E+01     1.975     2.3
4.40E+01     1.965     2.4
4.60E+01     1.951     2.3
4.80E+01     1.921     2.6
5.00E+01     1.900     2.7
5.20E+01     1.906     3.0
5.40E+01     1.869     3.0
5.60E+01     1.891     3.0
5.80E+01     1.873     2.8
6.00E+01     1.850     2.7
6.40E+01     1.835     2.4
6.80E+01     1.770     2.4
7.20E+01     1.730     2.6
7.60E+01     1.741     2.7
8.00E+01     1.707     2.9
8.40E+01     1.700     3.6
8.80E+01     1.634     3.7
9.20E+01     1.595     3.8
9.60E+01     1.578     3.7
1.00E+02     1.561     3.8
1.04E+02     1.543     3.7
1.08E+02     1.541     4.8
1.12E+02     1.534     4.6
1.16E+02     1.518     4.6
1.20E+02     1.499     4.6
1.28E+02     1.479     4.4
1.36E+02     1.468     4.3
1.44E+02     1.442     4.0
1.52E+02     1.467     4.3
1.60E+02     1.447     4.4
1.68E+02     1.439     4.7
1.76E+02     1.457     4.6
1.84E+02     1.455     4.8
1.92E+02     1.443     4.5
2.00E+02     1.449     4.5
