# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. natC(n,n) point-wise cross section data. 
# It is a standard from 10 eV to 1.8 MeV. 
# CS is the cross section. DCS is the cross section uncertainty. 
# The 0.65 % unrecognized systematic uncertainty is included in the uncertainties in the table. 
# Linear interpolation is recommended except below 30 keV where log-log interpolation should be used. 
# 
En           CS        DCS
# MeV          barn      %
1.00E-07     4.759     0.71
1.00E-05     4.759     0.71
1.00E-03     4.755     0.71
5.00E-03     4.742     0.71
1.00E-02     4.726     0.70
2.00E-02     4.692     0.70
5.00E-02     4.595     0.70
1.00E-01     4.439     0.70
1.50E-01     4.304     0.70
2.00E-01     4.149     0.69
2.50E-01     4.014     0.69
3.00E-01     3.886     0.69
3.50E-01     3.765     0.69
4.00E-01     3.649     0.69
4.50E-01     3.538     0.69
5.00E-01     3.433     0.68
5.50E-01     3.333     0.68
6.00E-01     3.237     0.68
6.50E-01     3.146     0.68
7.00E-01     3.058     0.68
7.50E-01     2.974     0.68
8.00E-01     2.894     0.68
8.50E-01     2.818     0.68
9.00E-01     2.744     0.68
9.50E-01     2.674     0.68
1.00E+00     2.606     0.68
1.10E+00     2.479     0.68
1.20E+00     2.362     0.68
1.30E+00     2.254     0.68
1.40E+00     2.154     0.68
1.50E+00     2.062     0.69
1.60E+00     1.977     0.69
1.70E+00     1.899     0.69
1.80E+00     1.830     0.69
# 
# 
# Table. Angular distributions of elastic scattered neutrons on natural Carbon given as relative coefficients of the Legendre polynomial expansion
# at the center of mass system. The uncertainty of integral cross section given in Table 6 should be used for angular distributions.  
# 
# En             a1         a2          a3          a4          a5          a6          a7          a8
# MeV            
#   1.0000e-5   1.785147-6  2.38817-10  2.14210-14  8.32683-16 -4.87872-16  3.03685-16 -3.19116-16  2.33149-16
#   1.0000e-4   1.785281-5  2.386342-9  2.15389-13  8.34158-15 -4.89586-15  3.03959-15 -3.19480-15  2.34107-15
#   1.0000e-3   1.786755-4  2.314302-8  2.82584-12  8.34730-14 -4.90167-14  3.04235-14 -3.19812-14  2.34396-14
#   2.0000e-3   3.579772-4  3.838265-8  7.59423-11  1.34970-13 -9.82217-14  6.09617-14 -6.40827-14  4.69678-14
#   5.0000e-3   8.932158-4  2.634752-7  3.57135-10  2.53625-13 -2.44903-13  1.51926-13 -1.59671-13  1.17094-13
#   1.0000e-2   1.779205-3  1.115034-6  1.222761-9 -3.85703-14 -4.86827-13  3.02030-13 -3.17464-13  2.32849-13
#   2.0000e-2   3.564705-3  3.712279-6  4.916465-8 -1.94242-10 -1.13318-12  6.03880-13 -6.34786-13  4.65636-13
#   5.0000e-2   8.748635-3  2.541518-5  2.478015-7 -1.121622-9 -2.61739-12  1.46741-12 -1.54283-12  1.13192-12
#   1.0000e-1   1.683846-2  1.062391-4  9.457967-7 -8.023388-9  7.00481-12  2.78959-12 -2.91644-12  2.14030-12
#   1.0100e-1   1.698768-2  1.086679-4  9.792604-7 -8.607849-9  8.54010-12  2.81638-12 -2.94093-12  2.15830-12
#   1.0900e-1   1.819864-2  1.279104-4  1.251090-6 -1.334677-8  2.07511-11  3.03397-12 -3.14011-12  2.30471-12
#   1.1700e-1   1.944828-2  1.466435-4  1.527969-6 -1.819235-8  3.27543-11  3.25901-12 -3.34670-12  2.45656-12
#   1.2500e-1   2.075771-2  1.645331-4  1.803912-6 -2.312236-8  4.43606-11  3.49538-12 -3.56480-12  2.61684-12
#   1.3300e-1   2.218091-2  1.813385-4  2.064433-6 -2.806058-8  5.51454-11  3.75250-12 -3.80424-12  2.79277-12
#   1.4100e-1   2.390952-2  2.002928-4  2.265167-6 -3.263498-8  6.37399-11  4.05981-12 -4.09614-12  3.00721-12
#   1.4900e-1   2.744308-2  3.422353-4  2.232465-6 -3.164398-8  6.06032-11  4.55808-12 -4.59383-12  3.37387-12
#   1.4910e-1   2.753742-2  3.501805-4  2.230234-6 -3.140750-8  6.02645-11  4.56703-12 -4.60318-12  3.38081-12
#   1.4960e-1   2.806426-2  3.995262-4  2.222175-6 -2.990998-8  5.82672-11  4.61208-12 -4.65066-12  3.41615-12
#   1.5000e-1   2.857661-2  4.567201-4  2.224480-6 -2.814882-8  5.61835-11  4.64690-12 -4.68814-12  3.44423-12
#   1.5010e-1   2.870596-2  4.716311-4  2.226622-6 -2.778277-8  5.60796-11  4.65658-12 -4.69714-12  3.45101-12
#   1.5060e-1   2.950457-2  5.813282-4  2.262892-6 -2.488144-8  5.47878-11  4.69773-12 -4.73610-12  3.48076-12
#   1.5110e-1   3.054497-2  7.557035-4  2.353689-6 -2.005607-8  5.23600-11  4.71920-12 -4.75717-12  3.49805-12
#   1.5160e-1   3.194829-2  1.049657-3  2.567353-6 -1.180154-8  4.84233-11  4.69000-12 -4.73017-12  3.48129-12
#   1.5210e-1   3.389807-2  1.581094-3  3.070795-6  2.997276-9  4.27149-11  4.53066-12 -4.57664-12  3.37410-12
#   1.5260e-1   3.658155-2  2.613433-3  4.295494-6  3.095891-8  3.62157-11  4.02583-12 -4.08154-12  3.02143-12
#   1.5310e-1   3.954092-2  4.652850-3  7.285517-6  8.354933-8  3.65615-11  2.62323-12 -2.68599-12  2.01836-12
#   1.5360e-1   3.882691-2  7.644157-3  1.297844-5  1.533949-7  7.10497-11 -2.94430-13  2.61900-13 -1.13914-13
#   1.5410e-1   2.964729-2  8.157081-3  1.637441-5  1.507035-7  1.43465-10 -2.32184-12  2.38168-12 -1.66383-12
#   1.5460e-1   2.199640-2  5.668367-3  1.389095-5  7.820120-8  1.78944-10 -1.27504-12  1.39852-12 -9.67794-13
#   1.5510e-1   1.972696-2  3.622076-3  1.080008-5  2.457307-8  1.80430-10  2.68439-13 -1.26595-13  1.30378-13
#   1.5560e-1   1.958608-2  2.463090-3  8.768875-6 -4.468504-9  1.74685-10  1.34038-12 -1.19442-12  9.02077-13
#   1.5610e-1   2.000165-2  1.808558-3  7.512007-6 -2.053322-8  1.69426-10  2.03348-12 -1.88575-12  1.40268-12
#   1.5650e-1   2.041179-2  1.479775-3  6.841697-6 -2.858322-8  1.66373-10  2.41837-12 -2.26892-12  1.68050-12
#   1.5900e-1   2.239678-2  7.274372-4  5.182301-6 -4.848400-8  1.62727-10  3.50446-12 -3.33243-12  2.45341-12
#   1.6150e-1   2.353397-2  5.446442-4  4.786814-6 -5.601397-8  1.70022-10  3.91294-12 -3.70780-12  2.72723-12
#   1.7250e-1   2.614175-2  4.168396-4  4.931278-6 -7.680309-8  2.24923-10  4.67194-12 -4.29450-12  3.15767-12
#   2.0000e-1   3.018601-2  5.050870-4  7.041701-6 -1.243057-7  3.61125-10  5.79708-12 -4.93651-12  3.63287-12
#   2.5000e-1   3.686699-2  7.103822-4  1.198911-5 -3.046906-7  1.139370-9  9.65281-12 -5.91560-12  4.38084-12
#   2.7250e-1   3.958680-2  8.207424-4  1.474234-5 -4.547231-7  1.936170-9  1.32209-11 -6.25153-12  4.66926-12
#   3.0000e-1   4.284700-2  9.771274-4  1.878855-5 -6.372935-7  2.828627-9  1.77854-11 -6.63003-12  5.00004-12
#   3.5000e-1   4.820083-2  1.298255-3  2.732914-5 -1.209152-6  6.177504-9  3.38634-11 -6.97256-12  5.50695-12
#   3.7250e-1   5.036555-2  1.457275-3  3.164342-5 -1.618901-6  8.869724-9  4.66462-11 -6.86975-12  5.69744-12
