# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. 10B(n,a1)and 10B(n,a) point-wise cross section data. 
# It is a standard from 0.0253 eV to 1.0 MeV. 
# CS is the cross section. 
# DCS is the cross section uncertainty. 
# The 0.8 % unrecognized systematic uncertainty (USU) is included in the uncertainties in the table. 
# Linear interpolation is recommended except below 30 keV where log-log interpolation should be used.
# 
En           CS         DCS           CS          DCS
#              10B(n,a1)  10B(n,a1)     10B(n,a )   10B(n,a)
# MeV          barn       %             barn        %
2.53E-08     3602.029   0.83          3844.121    0.82
9.40E-06     186.598    0.83          199.140     0.82
1.50E-04     46.504     0.82           49.630     0.82
2.50E-04     35.963     0.82           38.379     0.82
3.50E-04     30.354     0.82           32.394     0.82
4.50E-04     26.740     0.82           28.537     0.82
5.50E-04     24.164     0.82           25.787     0.82
6.50E-04     22.208     0.82           23.700     0.82
7.50E-04     20.658     0.82           22.046     0.82
8.50E-04     19.391     0.82           20.693     0.82
9.50E-04     18.329     0.82           19.561     0.82
1.50E-03     14.542     0.82           15.519     0.82
2.50E-03     11.219     0.82           11.972     0.82
3.50E-03     9.454      0.82           10.089     0.82
4.50E-03     8.319      0.82            8.877     0.82
5.50E-03     7.511      0.82            8.015     0.82
6.50E-03     6.898      0.83            7.362     0.82
7.50E-03     6.414      0.83            6.845     0.83
8.50E-03     6.018      0.83            6.423     0.83
9.50E-03     5.688      0.84            6.070     0.83
1.50E-02     4.515      0.87            4.819     0.86
2.00E-02     3.908      0.90            4.172     0.89
2.40E-02     3.570      0.92            3.812     0.91
3.00E-02     3.199      0.95            3.417     0.94
4.50E-02     2.634      1.0             2.815     0.98
5.50E-02     2.400      1.0             2.567     1.0
6.50E-02     2.225      1.0             2.381     1.0
7.50E-02     2.088      1.1             2.237     1.0
8.50E-02     1.977      1.1             2.121     1.1
9.50E-02     1.885      1.2             2.025     1.1
1.00E-01     1.845      1.2             1.983     1.1
1.20E-01     1.707      1.3             1.842     1.3
1.50E-01     1.545      1.4             1.680     1.3
1.70E-01     1.450      1.4             1.587     1.3
1.80E-01     1.404      1.4             1.542     1.3
1.90E-01     1.357      1.3             1.497     1.2
2.00E-01     1.311      1.3             1.452     1.2
2.10E-01     1.265      1.2             1.407     1.2
2.20E-01     1.219      1.2             1.361     1.1
2.30E-01     1.172      1.2             1.316     1.1
2.35E-01     1.149      1.2             1.293     1.1
2.40E-01     1.127      1.2             1.270     1.1
2.45E-01     1.104      1.2             1.247     1.2
2.50E-01     1.082      1.2             1.225     1.2
2.60E-01     1.039      1.3             1.181     1.2
2.70E-01     0.997      1.3             1.139     1.2
2.80E-01     0.958      1.4             1.099     1.3
3.00E-01     0.887      1.4             1.026     1.3
3.25E-01     0.813      1.5             0.952     1.4
3.50E-01     0.758      1.5             0.899     1.4
3.75E-01     0.720      1.6             0.867     1.4
4.00E-01     0.697      1.7             0.855     1.5
4.25E-01     0.684      1.7             0.857     1.5
4.50E-01     0.671      1.6             0.860     1.4
4.75E-01     0.648      1.6             0.847     1.4
5.00E-01     0.605      1.6             0.806     1.4
5.20E-01     0.561      1.5             0.755     1.3
5.40E-01     0.512      1.5             0.696     1.3
5.70E-01     0.443      1.6             0.609     1.4
6.00E-01     0.384      1.6             0.534     1.4
6.50E-01     0.310      1.7             0.440     1.4
7.00E-01     0.258      1.8             0.375     1.5
7.50E-01     0.221      1.8             0.329     1.5
8.00E-01     0.192      1.8             0.296     1.6
8.50E-01     0.169      1.9             0.270     1.6
9.00E-01     0.151      2.0             0.249     1.7
9.40E-01     0.138      2.0             0.236     1.9
9.60E-01     0.133      2.0             0.230     2.1
9.80E-01     0.127      2.3             0.225     2.4
1.00E+00     0.122      2.9             0.220     3.0
