# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. 238U(n,f) point-wise cross section data. 
# It is a standard from 2. to 200 MeV. 
# 
# CS is the cross section. DCS is the cross section uncertainty. 
# The 1.2 % unrecognized systematic uncertainty is included in the uncertainties in the table. 
# Linear interpolation is recommended. 
# 
En           CS        DCS
# MeV          barn      %
2.00E+00     0.538     1.3
2.20E+00     0.550     1.3
2.40E+00     0.547     1.3
2.60E+00     0.543     1.3
2.80E+00     0.539     1.4
3.00E+00     0.526     1.3
3.60E+00     0.550     1.3
4.00E+00     0.558     1.3
4.50E+00     0.563     1.4
4.70E+00     0.561     1.4
5.00E+00     0.549     1.4
5.30E+00     0.551     1.4
5.50E+00     0.548     1.4
5.80E+00     0.567     1.4
6.00E+00     0.611     1.4
6.20E+00     0.682     1.5
6.50E+00     0.818     1.4
7.00E+00     0.944     1.4
7.50E+00     0.994     1.4
7.75E+00     0.996     1.5
8.00E+00     1.017     1.4
8.50E+00     1.015     1.4
9.00E+00     1.017     1.4
1.00E+01     1.010     1.5
1.10E+01     1.009     1.5
1.15E+01     1.005     1.5
1.20E+01     0.988     1.5
1.30E+01     1.025     1.4
1.40E+01     1.151     1.3
1.45E+01     1.190     1.3
1.50E+01     1.242     1.4
1.60E+01     1.315     1.5
1.70E+01     1.320     1.5
1.80E+01     1.320     1.5
1.90E+01     1.357     1.5
2.00E+01     1.406     1.6
2.10E+01     1.518     1.6
2.20E+01     1.558     2.1
2.30E+01     1.599     1.8
2.40E+01     1.545     1.9
2.50E+01     1.577     1.7
2.60E+01     1.576     2.0
2.70E+01     1.563     1.8
2.80E+01     1.615     2.1
2.90E+01     1.604     1.8
3.00E+01     1.667     1.9
3.20E+01     1.684     2.2
3.40E+01     1.689     2.2
3.60E+01     1.652     2.4
3.80E+01     1.635     2.5
4.00E+01     1.663     2.5
4.20E+01     1.654     2.4
4.40E+01     1.643     2.5
4.60E+01     1.656     2.3
4.80E+01     1.637     2.7
5.00E+01     1.631     2.7
5.20E+01     1.634     3.0
5.40E+01     1.613     3.0
5.60E+01     1.632     3.0
5.80E+01     1.626     2.8
6.00E+01     1.604     2.7
6.40E+01     1.589     2.4
6.80E+01     1.529     2.5
7.20E+01     1.504     2.6
7.60E+01     1.531     2.7
8.00E+01     1.507     2.9
8.40E+01     1.496     3.7
8.80E+01     1.438     3.7
9.20E+01     1.403     3.8
9.60E+01     1.389     3.8
1.00E+02     1.383     3.8
1.04E+02     1.379     3.8
1.08E+02     1.375     4.8
1.12E+02     1.361     4.6
1.16E+02     1.348     4.6
1.20E+02     1.340     4.6
1.28E+02     1.324     4.4
1.36E+02     1.308     4.3
1.44E+02     1.287     4.1
1.52E+02     1.311     4.4
1.60E+02     1.305     4.4
1.68E+02     1.282     4.7
1.76E+02     1.325     4.6
1.84E+02     1.328     4.9
1.92E+02     1.311     4.5
2.00E+02     1.319     4.4
