# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table. 238U(n,g) cross section. 
# En is the incident neutron energy. CS is the cross section. DCS is the cross section uncertainty. 
# Data followed by * are smoothed values.
# These data include a 1.7 % unrecognized systematic uncertainty below 1 MeV and 2.4 % at 1 MeV and above.
# Linear interpolation is recommended except below 30 keV where log-log interpolation should be used. 
# 
En       CS      DCS
# MeV      barn    %
2.53E-08 2.678   0.59
1.50E-04 16.543  1.8
2.50E-04 8.544   2.1
3.50E-04 2.926   2.4
4.50E-04 2.704   1.9
5.50E-04 4.702   3.0
6.50E-04 3.512   2.6
7.50E-04 1.775   2.5
8.50E-04 2.892   1.9
9.50E-04 4.061   2.4
1.50E-03 1.877   2.1
2.50E-03 1.399   2.1
3.50E-03 1.157   2.0
4.50E-03 0.901   1.9
5.50E-03 0.890   2.0
6.50E-03 0.843   2.0
7.50E-03 0.747   2.0
8.50E-03 0.644   1.9
9.50E-03 0.684   2.0
1.50E-02 0.591   1.9
2.00E-02 0.530   1.9
2.40E-02 0.472   1.9
3.00E-02 0.434   1.9
4.50E-02 0.357   1.9
5.50E-02 0.290   1.9
6.50E-02 0.245   1.9
7.50E-02 0.211   1.9
8.50E-02 0.188   2.0
9.50E-02 0.182   2.1
1.00E-01 0.179   2.2
1.20E-01 0.164   2.1
1.50E-01 0.141   2.0
1.70E-01 0.139   2.2
1.80E-01 0.129  3.6
1.90E-01 0.127  2.5
2.00E-01 0.129  2.3
2.10E-01 0.130  2.6
2.20E-01 0.126  2.6
2.30E-01 0.123  2.3
2.35E-01 0.121  3.1
2.40E-01 0.118  2.9
2.45E-01 0.116  2.5
2.50E-01 0.116  2.8
2.60E-01 0.115  2.3
2.70E-01 0.115  2.9
2.80E-01 0.115  2.5
3.00E-01 0.115  2.3
3.25E-01 0.113  2.8
3.50E-01 0.109  2.4
3.75E-01 0.107  2.4
4.00E-01 0.106  2.1
4.25E-01 0.106  3.3
4.50E-01 0.106  2.4
4.75E-01 0.106  5.4
5.00E-01 0.108  2.1
5.20E-01 0.108  2.5
5.40E-01 0.109  2.4
5.70E-01 0.114  2.3
6.00E-01 0.113  2.1
6.50E-01 0.113  3.3
7.00E-01 0.118  2.5
7.50E-01 0.118  3.2
8.00E-01 0.119  2.2
8.50E-01 0.124  5.1
9.00E-01 0.126  2.8
9.40E-01 0.129  2.8
9.60E-01 0.135   2.7
1.00E+00 0.128   2.7
1.10E+00 0.113  3.2
1.25E+00 0.0943 3.1
1.40E+00 0.0802 3.3
1.60E+00 0.0669 3.2
1.80E+00 0.0568 3.9
2.00E+00 0.0478 3.7
2.20E+00 0.0385 3.8
