# IAEA 2017 Neutron Data Standards in Table Format
# A. D. Carlson et al, Nuclear Data Sheets 148 (2018) 143-188. 
# https://doi.org/10.1016/j.nds.2018.02.002
# 
# Table 1. Standards H(n,n) point-wise cross section data. 
# It is a standard from 1 keV to 20 MeV. 
# En is the incident neutron energy in the laboratory system. 
# CS is the cross section. DCS is the cross section uncertainty. 
# The 0.34 % unrecognized systematic uncertainty (USU) was added to the total uncertainty DCS. 
# Linear interpolation between energies is recommended.
# 
En              CS             DCS
# MeV             barn           %
1.00E-03        20.303         0.83
2.00E-03        20.171         0.82
4.00E-03        19.913         0.81
6.00E-03        19.663         0.80
8.00E-03        19.420         0.79
1.00E-02        19.184         0.78
2.00E-02        18.096         0.74
4.00E-02        16.296         0.67
6.00E-02        14.868         0.61
8.00E-02        13.707         0.57
1.00E-01        12.744         0.53
1.50E-01        10.925         0.47
2.00E-01        9.645          0.44
3.00E-01        7.954          0.40
4.00E-01        6.879          0.38
5.00E-01        6.128          0.37
6.00E-01        5.569          0.36
7.00E-01        5.135          0.36
8.00E-01        4.785          0.36
9.00E-01        4.495          0.35
1.00E+00        4.249          0.35
1.20E+00        3.854          0.35
1.40E+00        3.546          0.35
1.60E+00        3.296          0.36
1.80E+00        3.087          0.36
2.00E+00        2.908          0.36
2.20E+00        2.753          0.36
2.40E+00        2.617          0.36
2.60E+00        2.495          0.37
2.80E+00        2.386          0.37
3.00E+00        2.287          0.37
3.20E+00        2.196          0.38
3.40E+00        2.113          0.38
3.60E+00        2.037          0.38
3.80E+00        1.966          0.38
4.00E+00        1.900          0.39
4.20E+00        1.838          0.39
4.40E+00        1.781          0.39
4.60E+00        1.726          0.40
4.80E+00        1.676          0.40
5.00E+00        1.628          0.40
6.00E+00        1.423          0.41
7.00E+00        1.263          0.42
7.50E+00        1.195          0.43
8.00E+00        1.133          0.43
8.50E+00        1.077          0.43
9.00E+00        1.027          0.43
9.50E+00        0.980          0.43
1.00E+01        0.937          0.43
1.05E+01        0.897          0.43
1.10E+01        0.861          0.43
1.15E+01        0.827          0.43
1.20E+01        0.795          0.43
1.25E+01        0.765          0.43
1.30E+01        0.738          0.42
1.35E+01        0.712          0.42
1.40E+01        0.688          0.42
1.45E+01        0.665          0.42
1.50E+01        0.643          0.42
1.55E+01        0.623          0.42
1.60E+01        0.604          0.42
1.65E+01        0.586          0.42
1.70E+01        0.568          0.42
1.75E+01        0.552          0.42
1.80E+01        0.537          0.42
1.85E+01        0.522          0.43
1.90E+01        0.508          0.43
1.95E+01        0.495          0.44
2.00E+01        0.482          0.44
